Time	CellId	RNTI	BWPId	SINR(dB)
0.789964	3	3	0	32.0609
0.79025	3	2	0	38.853
0.790464	3	3	0	32.0609
0.790714	3	2	0	38.853
0.790929	3	3	0	32.0609
0.79125	3	2	0	38.853
0.791464	3	3	0	32.0609
0.79175	3	2	0	38.853
0.791964	3	3	0	32.0609
0.79225	3	2	0	38.853
0.792464	3	3	0	32.0609
0.79275	3	2	0	38.853
0.792964	3	3	0	32.0609
0.79325	3	2	0	38.853
0.793464	3	3	0	32.0609
0.79375	3	2	0	38.853
0.793929	3	3	0	32.0609
0.794214	3	2	0	38.853
0.794429	3	3	0	32.0609
0.79475	3	2	0	38.853
0.794964	3	3	0	32.0609
0.79525	3	2	0	38.853
0.795464	3	3	0	32.0609
0.79575	3	2	0	38.853
0.795964	3	3	0	32.0609
0.79625	3	2	0	38.853
0.796464	3	3	0	32.0609
0.79675	3	2	0	38.853
0.796964	3	3	0	32.0609
0.79725	3	2	0	38.853
0.797464	3	3	0	32.0609
0.79775	3	2	0	38.853
0.797964	3	3	0	32.0609
0.79825	3	2	0	38.853
0.798429	3	3	0	32.0609
0.79875	3	2	0	38.853
0.798964	3	3	0	32.0609
0.799214	3	2	0	38.853
0.799429	3	3	0	32.0609
0.79975	3	2	0	38.853
0.799964	3	3	0	32.0609
0.80025	3	2	0	38.853
0.800464	3	3	0	32.0609
0.80075	3	2	0	38.853
0.800964	3	3	0	32.0609
0.80125	3	2	0	38.853
0.801464	3	3	0	32.0609
0.80175	3	2	0	38.853
0.801929	3	3	0	32.0609
0.80225	3	2	0	38.853
0.802464	3	3	0	32.0609
0.80275	3	2	0	38.853
0.802964	3	3	0	32.0609
0.80325	3	2	0	38.853
0.803464	3	3	0	32.0609
0.80375	3	2	0	38.853
0.803964	3	3	0	32.0609
0.80425	3	2	0	38.853
0.804464	3	3	0	32.0609
0.80475	3	2	0	38.853
0.804964	3	3	0	32.0609
0.80525	3	2	0	38.853
0.805464	3	3	0	32.0609
0.80575	3	2	0	38.853
0.805964	3	3	0	32.0609
0.80625	3	2	0	38.853
0.806464	3	3	0	32.0609
0.806714	3	2	0	38.853
0.806929	3	3	0	32.0609
0.80725	3	2	0	38.853
0.807464	3	3	0	32.0609
0.80775	3	2	0	38.853
0.807964	3	3	0	32.0609
0.80825	3	2	0	38.853
0.808464	3	3	0	32.0609
0.80875	3	2	0	38.853
0.808964	3	3	0	32.0609
0.80925	3	2	0	38.853
0.809464	3	3	0	32.0609
0.80975	3	2	0	38.853
0.809964	3	3	0	32.0609
0.81025	3	2	0	38.853
0.810464	3	3	0	32.0609
0.81075	3	2	0	38.853
0.810964	3	3	0	32.0609
0.81125	3	2	0	38.853
0.811464	3	3	0	32.0609
0.81175	3	2	0	38.853
0.811964	3	3	0	32.0609
0.81225	3	2	0	38.853
0.812464	3	3	0	32.0609
0.81275	3	2	0	38.853
0.812964	3	3	0	32.0609
0.81325	3	2	0	38.853
0.813464	3	3	0	32.0609
0.81375	3	2	0	38.853
0.813964	3	3	0	32.0609
0.81425	3	2	0	38.853
0.814464	3	3	0	32.0609
0.81475	3	2	0	38.853
0.814964	3	3	0	32.0609
0.81525	3	2	0	38.853
0.815464	3	3	0	32.0609
0.81575	3	2	0	38.853
0.815929	3	3	0	32.0609
0.81625	3	2	0	38.853
0.816464	3	3	0	32.0609
0.81675	3	2	0	38.853
0.816964	3	3	0	32.0609
0.81725	3	2	0	38.853
0.817464	3	3	0	32.0609
0.81775	3	2	0	38.853
0.817964	3	3	0	32.0609
0.81825	3	2	0	38.853
0.818464	3	3	0	32.0609
0.81875	3	2	0	38.853
0.818964	3	3	0	32.0609
0.81925	3	2	0	38.853
0.819464	3	3	0	32.0609
0.819714	3	2	0	38.853
0.819929	3	3	0	32.0609
0.82025	3	2	0	38.853
0.820464	3	3	0	32.0609
0.82075	3	2	0	38.853
0.820964	3	3	0	32.0609
0.82125	3	2	0	38.853
0.821464	3	3	0	32.0609
0.82175	3	2	0	38.853
0.821964	3	3	0	32.0609
0.82225	3	2	0	38.853
0.822464	3	3	0	32.0609
0.82275	3	2	0	38.853
0.822964	3	3	0	32.0609
0.82325	3	2	0	38.853
0.823464	3	3	0	32.0609
0.82375	3	2	0	38.853
0.823964	3	3	0	32.0609
0.82425	3	2	0	38.853
0.824464	3	3	0	32.0609
0.82475	3	2	0	38.853
0.824964	3	3	0	32.0609
0.82525	3	2	0	38.853
0.825429	3	3	0	32.0609
0.82575	3	2	0	38.853
0.825964	3	3	0	32.0609
0.82625	3	2	0	38.853
0.826464	3	3	0	32.0609
0.82675	3	2	0	38.853
0.826964	3	3	0	32.0609
0.82725	3	2	0	38.853
0.827464	5	4	0	42.3039
0.827464	3	3	0	32.0609
0.82775	3	2	0	38.853
0.827964	5	4	0	42.3039
0.827964	3	3	0	32.0609
0.82825	3	2	0	38.853
0.828464	5	4	0	42.3039
0.828464	3	3	0	32.0609
0.82875	3	2	0	38.853
0.828964	5	4	0	42.3039
0.828964	3	3	0	32.0609
0.82925	3	2	0	38.853
0.829464	5	4	0	42.3039
0.829464	3	3	0	32.0609
0.82975	3	2	0	38.853
0.829929	5	4	0	42.3039
0.829964	3	3	0	32.0609
0.83025	3	2	0	38.853
0.830464	5	4	0	42.3039
0.830464	3	3	0	32.0609
0.830714	3	2	0	38.853
0.830929	3	3	0	32.0609
0.830964	5	4	0	42.3039
0.83125	3	2	0	38.853
