time(s)	cellId	rnti	lcid	packetSize
0.797	3	2	3	3241
0.797	3	3	3	2235
0.7975	3	2	3	3241
0.7975	3	3	3	2684
0.798	3	2	3	2701
0.798	3	3	3	2684
0.7985	3	2	3	3241
0.7985	3	3	3	2684
0.799	3	2	3	3241
0.799	3	3	3	2684
0.7995	3	2	3	3241
0.7995	3	3	3	2684
0.8	3	2	3	3241
0.8	3	3	3	2684
0.8005	3	2	3	3241
0.8005	3	3	3	2235
0.801	3	2	3	3241
0.801	3	3	3	2684
0.8015	3	2	3	3241
0.8015	3	3	3	2684
0.802	3	2	3	3241
0.802	3	3	3	2684
0.8025	3	2	3	3241
0.8025	3	3	3	2684
0.803	3	2	3	3241
0.803	3	3	3	2684
0.8035	3	2	3	3241
0.8035	3	3	3	2684
0.804	3	2	3	3241
0.804	3	3	3	2684
0.8045	3	2	3	3241
0.8045	3	3	3	2684
0.805	3	2	3	3241
0.805	3	3	3	2684
0.8055	3	2	3	2701
0.8055	3	3	3	2684
0.806	3	2	3	3241
0.806	3	3	3	2684
0.8065	3	2	3	3241
0.8065	3	3	3	2684
0.807	3	2	3	3241
0.807	3	3	3	2684
0.8075	3	2	3	3241
0.8075	3	3	3	2684
0.808	3	2	3	3241
0.808	3	3	3	2684
0.8085	3	2	3	3241
0.8085	3	3	3	2684
0.809	3	2	3	3241
0.809	3	3	3	2684
0.8095	3	2	3	3241
0.8095	3	3	3	2684
0.81	3	2	3	3241
0.81	3	3	3	2684
0.8105	3	2	3	3241
0.8105	3	3	3	2684
0.811	3	2	3	3241
0.811	3	3	3	2684
0.8115	3	2	3	3241
0.8115	3	3	3	2684
0.812	3	2	3	3241
0.812	3	3	3	2684
0.8125	3	2	3	3241
0.8125	3	3	3	2684
0.813	3	2	3	3241
0.813	3	3	3	2684
0.8135	3	2	3	3241
0.8135	3	3	3	2684
0.814	3	2	3	3241
0.814	3	3	3	2684
0.8145	3	2	3	3241
0.8145	3	3	3	2235
0.815	3	2	3	3241
0.815	3	3	3	2684
0.8155	3	2	3	3241
0.8155	3	3	3	2684
0.816	3	2	3	3241
0.816	3	3	3	2684
0.8165	3	2	3	3241
0.8165	3	3	3	2684
0.817	3	2	3	3241
0.817	3	3	3	2684
0.8175	3	2	3	3241
0.8175	3	3	3	2684
0.818	3	2	3	3241
0.818	3	3	3	2684
0.8185	3	2	3	2701
0.8185	3	3	3	2684
0.819	3	2	3	3241
0.819	3	3	3	2682
0.8195	3	2	3	3241
0.8195	3	3	3	2684
0.82	3	2	3	3241
0.82	3	3	3	2684
0.8205	3	2	3	3241
0.8205	3	3	3	2684
0.821	3	2	3	3241
0.821	3	3	3	2684
0.8215	3	2	3	3241
0.8215	3	3	3	2684
0.822	3	2	3	3241
0.822	3	3	3	2684
0.8225	3	2	3	3241
0.8225	3	3	3	2684
0.823	3	2	3	3241
0.823	3	3	3	2684
0.8235	3	2	3	3241
0.8235	3	3	3	2684
0.824	3	2	3	3241
0.824	3	3	3	2235
0.8245	3	2	3	3241
0.8245	3	3	3	2684
0.825	3	2	3	3241
0.825	3	3	3	2684
0.8255	3	2	3	3241
0.8255	3	3	3	2684
0.826	3	2	3	3241
0.826	3	3	3	2684
0.826	5	4	3	6485
0.8265	3	2	3	3241
0.8265	3	3	3	2684
0.8265	5	4	3	6485
0.827	3	2	3	3241
