Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.371964	HARQ FD Txed	37	1	1	5	4	0	12	2
0.371964	HARQ FD Txed	37	1	1	5	5	0	12	2
0.371964	HARQ FD Txed	37	1	1	5	11	0	12	2
0.371964	HARQ FD Txed	37	1	1	5	12	0	12	2
0.371964	HARQ FD Txed	37	1	1	5	13	0	12	2
0.372036	DL DCI Rxed	37	2	0	5	1	0	14	2
0.372036	DL DCI Rxed	37	2	0	5	2	0	14	2
0.372036	DL DCI Rxed	37	2	0	5	3	0	14	2
0.372036	DL DCI Rxed	37	2	0	5	4	0	14	2
0.372036	DL DCI Rxed	37	2	0	5	5	0	14	2
0.372036	DL DCI Rxed	37	2	0	5	11	0	14	2
0.372036	DL DCI Rxed	37	2	0	5	14	0	14	2
0.372036	DL DCI Rxed	37	2	0	5	15	0	14	2
0.372464	HARQ FD Txed	37	2	0	5	12	0	11	2
0.372464	HARQ FD Txed	37	2	0	5	13	0	11	2
0.372464	HARQ FD Txed	37	2	0	5	15	0	11	2
0.372464	HARQ FD Txed	37	2	0	5	14	0	11	2
0.372464	HARQ FD Txed	37	2	0	5	1	0	11	2
0.372464	HARQ FD Txed	37	2	0	5	2	0	11	2
0.372464	HARQ FD Txed	37	2	0	5	3	0	11	2
0.372464	HARQ FD Txed	37	2	0	5	4	0	11	2
0.372464	HARQ FD Txed	37	2	0	5	5	0	11	2
0.372464	HARQ FD Txed	37	2	0	5	11	0	11	2
0.372964	HARQ FD Txed	37	2	1	5	12	0	15	2
0.372964	HARQ FD Txed	37	2	1	5	13	0	15	2
0.372964	HARQ FD Txed	37	2	1	5	15	0	15	2
0.372964	HARQ FD Txed	37	2	1	5	14	0	15	2
0.372964	HARQ FD Txed	37	2	1	5	1	0	15	2
0.372964	HARQ FD Txed	37	2	1	5	2	0	15	2
0.372964	HARQ FD Txed	37	2	1	5	3	0	15	2
0.372964	HARQ FD Txed	37	2	1	5	4	0	15	2
0.372964	HARQ FD Txed	37	2	1	5	5	0	15	2
0.372964	HARQ FD Txed	37	2	1	5	11	0	15	2
0.373464	HARQ FD Txed	37	3	0	5	15	0	14	2
0.373464	HARQ FD Txed	37	3	0	5	14	0	14	2
0.373464	HARQ FD Txed	37	3	0	5	1	0	14	2
0.373464	HARQ FD Txed	37	3	0	5	2	0	14	2
0.373464	HARQ FD Txed	37	3	0	5	3	0	14	2
0.373464	HARQ FD Txed	37	3	0	5	4	0	14	2
0.373464	HARQ FD Txed	37	3	0	5	5	0	14	2
0.373464	HARQ FD Txed	37	3	0	5	11	0	14	2
0.432036	DL DCI Rxed	43	2	0	5	1	0	15	2
0.432536	DL DCI Rxed	43	2	1	5	1	0	14	2
0.433036	DL DCI Rxed	43	3	0	5	1	0	13	2
0.433464	HARQ FD Txed	43	3	0	5	1	0	15	2
0.433536	DL DCI Rxed	43	3	1	5	1	0	12	2
0.433964	HARQ FD Txed	43	3	1	5	1	0	14	2
0.434036	DL DCI Rxed	43	4	0	5	1	0	11	2
0.434464	HARQ FD Txed	43	4	0	5	1	0	13	2
0.434536	DL DCI Rxed	43	4	1	5	1	0	15	2
0.434964	HARQ FD Txed	43	4	1	5	1	0	12	2
0.435036	DL DCI Rxed	43	5	0	5	1	0	14	2
0.435464	HARQ FD Txed	43	5	0	5	1	0	11	2
0.435536	DL DCI Rxed	43	5	1	5	1	0	13	2
0.435964	HARQ FD Txed	43	5	1	5	1	0	15	2
0.436036	DL DCI Rxed	43	6	0	5	1	0	12	2
0.436464	HARQ FD Txed	43	6	0	5	1	0	14	2
0.436536	DL DCI Rxed	43	6	1	5	1	0	11	2
0.436964	HARQ FD Txed	43	6	1	5	1	0	13	2
0.437036	DL DCI Rxed	43	7	0	5	1	0	15	2
0.437464	HARQ FD Txed	43	7	0	5	1	0	12	2
0.437536	DL DCI Rxed	43	7	1	5	1	0	14	2
0.437964	HARQ FD Txed	43	7	1	5	1	0	11	2
0.438036	DL DCI Rxed	43	8	0	5	1	0	13	2
0.438464	HARQ FD Txed	43	8	0	5	1	0	15	2
0.438536	DL DCI Rxed	43	8	1	5	1	0	12	2
0.438964	HARQ FD Txed	43	8	1	5	1	0	14	2
0.439036	DL DCI Rxed	43	9	0	5	1	0	11	2
0.439464	HARQ FD Txed	43	9	0	5	1	0	13	2
0.439536	DL DCI Rxed	43	9	1	5	1	0	15	2
0.439964	HARQ FD Txed	43	9	1	5	1	0	12	2
0.440036	DL DCI Rxed	44	0	0	5	1	0	14	2
0.440464	HARQ FD Txed	44	0	0	5	1	0	11	2
