Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.04	5	0	20	-97.6195
0.04	5	0	23	-111.895
0.04	5	0	26	-85.9646
0.04	5	0	29	-107.965
0.04	5	0	32	-115.839
0.0405	3	0	4	-113.828
0.0405	3	0	7	-96.2002
0.0405	3	0	10	-106.523
0.0405	3	0	13	-112.759
0.0405	3	0	16	-107.008
0.0405	3	0	19	-110.182
0.0405	3	0	22	-114.926
0.0405	3	0	25	-115.525
0.0405	3	0	28	-107.346
0.0405	3	0	31	-100.317
0.0415	1	0	3	-114.19
0.0415	1	0	6	-108.316
0.0415	1	0	9	-109.928
0.0415	1	0	12	-110.333
0.0415	1	0	15	-112.144
0.0415	1	0	18	-111.712
0.0415	1	0	21	-113.687
0.0415	1	0	24	-109.714
0.0415	1	0	27	-107.861
0.0415	1	0	30	-110.066
0.0445	5	0	5	-93.4123
0.0445	5	0	8	-92.0396
0.0445	5	0	11	-102.569
0.0445	5	0	14	-102.507
0.0445	5	0	17	-110.871
0.0445	5	0	20	-97.6195
0.0445	5	0	23	-111.895
0.0445	5	0	26	-85.9646
0.0445	5	0	29	-107.965
0.0445	5	0	32	-115.839
0.045	1	0	3	-114.19
0.045	1	0	6	-108.316
0.045	1	0	9	-109.928
0.045	1	0	12	-110.333
0.045	1	0	15	-112.144
0.045	1	0	18	-111.712
0.045	1	0	21	-113.687
0.045	1	0	24	-109.714
0.045	1	0	27	-107.861
0.045	1	0	30	-110.066
0.045	3	0	4	-113.828
0.045	3	0	7	-96.2002
0.045	3	0	10	-106.523
0.045	3	0	13	-112.759
0.045	3	0	16	-107.008
0.045	3	0	19	-110.182
0.045	3	0	22	-114.926
0.045	3	0	25	-115.525
0.045	3	0	28	-107.346
0.045	3	0	31	-100.317
0.045	5	0	5	-93.4123
0.045	5	0	8	-92.0396
0.045	5	0	11	-102.569
0.045	5	0	14	-102.507
0.045	5	0	17	-110.871
0.045	5	0	20	-97.6195
0.045	5	0	23	-111.895
0.045	5	0	26	-85.9646
0.045	5	0	29	-107.965
0.045	5	0	32	-115.839
0.0455	3	0	4	-113.828
0.0455	3	0	7	-96.2002
0.0455	3	0	10	-106.523
0.0455	3	0	13	-112.759
0.0455	3	0	16	-107.008
0.0455	3	0	19	-110.182
0.0455	3	0	22	-114.926
0.0455	3	0	25	-115.525
0.0455	3	0	28	-107.346
0.0455	3	0	31	-100.317
0.0455	5	0	5	-93.4123
0.0455	5	0	8	-92.0396
0.0455	5	0	11	-102.569
0.0455	5	0	14	-102.507
0.0455	5	0	17	-110.871
0.0455	5	0	20	-97.6195
0.0455	5	0	23	-111.895
0.0455	5	0	26	-85.9646
0.0455	5	0	29	-107.965
0.0455	5	0	32	-115.839
0.047	5	0	5	-93.4123
0.047	5	0	8	-92.0396
0.047	5	0	11	-102.569
0.047	5	0	14	-102.507
0.047	5	0	17	-110.871
0.047	5	0	20	-97.6195
0.047	5	0	23	-111.895
0.047	5	0	26	-85.9646
0.047	5	0	29	-107.965
0.047	5	0	32	-115.839
0.0485	1	0	3	-114.19
0.0485	1	0	6	-108.316
0.0485	1	0	9	-109.928
0.0485	1	0	12	-110.333
0.0485	1	0	15	-112.144
0.0485	1	0	18	-111.712
0.0485	1	0	21	-113.687
0.0485	1	0	24	-109.714
