time(s)	cellId	rnti	lcid	packetSize
0.491755	5	2	3	1478
0.491756	5	2	3	1478
0.491757	5	2	3	1478
0.491758	5	2	3	1478
0.49176	5	2	3	1478
0.491761	5	2	3	1478
0.491762	5	2	3	1478
0.491763	5	2	3	1478
0.491764	5	2	3	1478
0.491766	5	2	3	1478
0.491767	5	2	3	1478
0.491768	5	2	3	1478
0.491769	5	2	3	1478
0.491771	5	2	3	1478
0.491772	5	2	3	1478
0.491773	5	2	3	1478
0.491774	5	2	3	1478
0.491775	5	2	3	1478
0.491777	5	2	3	1478
0.491778	5	2	3	1478
0.491779	5	2	3	1478
0.49178	5	2	3	1478
0.491781	5	2	3	1478
0.491783	5	2	3	1478
0.491784	5	2	3	1478
0.491785	5	2	3	1478
0.491786	5	2	3	1478
0.491788	5	2	3	1478
0.491789	5	2	3	1478
0.49179	5	2	3	1478
0.491791	5	2	3	1478
0.491792	5	2	3	1478
0.491794	5	2	3	1478
0.491795	5	2	3	1478
0.491796	5	2	3	1478
0.491797	5	2	3	1478
0.491798	5	2	3	1478
0.4918	5	2	3	1478
0.491801	5	2	3	1478
0.491802	5	2	3	1478
0.491803	5	2	3	1478
0.491805	5	2	3	1478
0.491806	5	2	3	1478
0.491807	5	2	3	1478
0.491808	5	2	3	1478
0.491809	5	2	3	1478
0.491811	5	2	3	1478
0.491812	5	2	3	1478
0.491813	5	2	3	1478
0.491814	5	2	3	1478
0.491815	5	2	3	1478
0.491817	5	2	3	1478
0.491818	5	2	3	1478
0.491819	5	2	3	1478
0.49182	5	2	3	1478
0.491822	5	2	3	1478
0.491823	5	2	3	1478
0.491824	5	2	3	1478
0.491825	5	2	3	1478
0.491826	5	2	3	1478
0.491828	5	2	3	1478
0.491829	5	2	3	1478
0.49183	5	2	3	1478
0.491831	5	2	3	1478
0.491832	5	2	3	1478
0.491834	5	2	3	1478
0.491835	5	2	3	1478
0.491836	5	2	3	1478
0.491837	5	2	3	1478
0.491839	5	2	3	1478
0.49184	5	2	3	1478
0.491841	5	2	3	1478
0.491842	5	2	3	1478
0.491843	5	2	3	1478
0.491845	5	2	3	1478
0.491846	5	2	3	1478
0.491847	5	2	3	1478
0.491848	5	2	3	1478
0.491849	5	2	3	1478
0.491851	5	2	3	1478
0.491852	5	2	3	1478
0.491853	5	2	3	1478
0.491854	5	2	3	1478
0.491856	5	2	3	1478
0.491857	5	2	3	1478
0.491858	5	2	3	1478
0.491859	5	2	3	1478
0.49186	5	2	3	1478
0.491862	5	2	3	1478
0.491863	5	2	3	1478
0.491864	5	2	3	1478
0.491865	5	2	3	1478
0.491866	5	2	3	1478
0.491868	5	2	3	1478
0.491869	5	2	3	1478
0.49187	5	2	3	1478
0.491871	5	2	3	1478
0.491873	5	2	3	1478
0.491874	5	2	3	1478
0.491875	5	2	3	1478
0.491876	5	2	3	1478
0.491877	5	2	3	1478
0.491879	5	2	3	1478
0.49188	5	2	3	1478
0.491881	5	2	3	1478
0.491882	5	2	3	1478
0.491883	5	2	3	1478
0.491885	5	2	3	1478
0.491886	5	2	3	1478
0.491887	5	2	3	1478
0.491888	5	2	3	1478
0.49189	5	2	3	1478
0.491891	5	2	3	1478
0.491892	5	2	3	1478
0.491893	5	2	3	1478
0.491894	5	2	3	1478
0.491896	5	2	3	1478
0.491897	5	2	3	1478
0.491898	5	2	3	1478
0.491899	5	2	3	1478
0.4919	5	2	3	1478
0.491902	5	2	3	1478
0.491903	5	2	3	1478
0.491904	5	2	3	1478
0.491905	5	2	3	1478
0.491907	5	2	3	1478
0.491908	5	2	3	1478
0.491909	5	2	3	1478
0.49191	5	2	3	1478
0.491911	5	2	3	1478
0.491913	5	2	3	1478
0.491914	5	2	3	1478
0.491915	5	2	3	1478
0.491916	5	2	3	1478
0.491917	5	2	3	1478
0.491919	5	2	3	1478
0.49192	5	2	3	1478
0.491921	5	2	3	1478
0.491922	5	2	3	1478
0.491924	5	2	3	1478
0.491925	5	2	3	1478
0.491926	5	2	3	1478
0.491927	5	2	3	1478
0.491928	5	2	3	1478
0.49193	5	2	3	1478
0.491931	5	2	3	1478
0.491932	5	2	3	1478
0.491933	5	2	3	1478
0.491934	5	2	3	1478
0.491936	5	2	3	1478
0.491937	5	2	3	1478
0.491938	5	2	3	1478
0.491939	5	2	3	1478
0.491941	5	2	3	1478
0.491942	5	2	3	1478
0.491943	5	2	3	1478
0.491944	5	2	3	1478
0.491945	5	2	3	1478
0.491947	5	2	3	1478
0.491948	5	2	3	1478
0.491949	5	2	3	1478
0.49195	5	2	3	1478
0.491951	5	2	3	1478
0.491953	5	2	3	1478
0.491954	5	2	3	1478
0.491955	5	2	3	1478
0.491956	5	2	3	1478
0.491958	5	2	3	1478
0.491959	5	2	3	1478
0.49196	5	2	3	1478
0.491961	5	2	3	1478
0.491962	5	2	3	1478
0.491964	5	2	3	1478
0.491965	5	2	3	1478
0.491966	5	2	3	1478
0.491967	5	2	3	1478
0.491968	5	2	3	1478
0.49197	5	2	3	1478
0.491971	5	2	3	1478
0.491972	5	2	3	1478
0.491973	5	2	3	1478
0.491974	5	2	3	1478
0.491976	5	2	3	1478
0.491977	5	2	3	1478
0.491978	5	2	3	1478
0.491979	5	2	3	1478
0.491981	5	2	3	1478
0.491982	5	2	3	1478
0.491983	5	2	3	1478
0.491984	5	2	3	1478
0.491985	5	2	3	1478
0.491987	5	2	3	1478
0.491988	5	2	3	1478
0.491989	5	2	3	1478
0.49199	5	2	3	1478
0.491991	5	2	3	1478
0.491993	5	2	3	1478
0.491994	5	2	3	1478
0.491995	5	2	3	1478
0.491996	5	2	3	1478
0.491998	5	2	3	1478
0.491999	5	2	3	1478
0.492	5	2	3	1478
0.492001	5	2	3	1478
0.492002	5	2	3	1478
0.492004	5	2	3	1478
0.492005	5	2	3	1478
0.492006	5	2	3	1478
0.492007	5	2	3	1478
0.492008	5	2	3	1478
0.49201	5	2	3	1478
0.492011	5	2	3	1478
0.492012	5	2	3	1478
0.492013	5	2	3	1478
0.492015	5	2	3	1478
0.492016	5	2	3	1478
0.492017	5	2	3	1478
0.492018	5	2	3	1478
0.492019	5	2	3	1478
0.492021	5	2	3	1478
0.492022	5	2	3	1478
0.492023	5	2	3	1478
0.492024	5	2	3	1478
0.492025	5	2	3	1478
0.492027	5	2	3	1478
0.492028	5	2	3	1478
0.492029	5	2	3	1478
0.49203	5	2	3	1478
0.492032	5	2	3	1478
0.492033	5	2	3	1478
0.492034	5	2	3	1478
0.492035	5	2	3	1478
0.547917	1	1	3	1478
0.547918	1	1	3	1478
0.54792	1	1	3	1478
0.547921	1	1	3	1478
0.547922	1	1	3	1478
0.547923	1	1	3	1478
0.547924	1	1	3	1478
0.547926	1	1	3	1478
0.547927	1	1	3	1478
0.547928	1	1	3	1478
0.547929	1	1	3	1478
0.547931	1	1	3	1478
0.547932	1	1	3	1478
0.547933	1	1	3	1478
0.547934	1	1	3	1478
0.547935	1	1	3	1478
0.547937	1	1	3	1478
0.547938	1	1	3	1478
0.547939	1	1	3	1478
0.54794	1	1	3	1478
0.547941	1	1	3	1478
0.547943	1	1	3	1478
0.547944	1	1	3	1478
0.547945	1	1	3	1478
0.547946	1	1	3	1478
0.547948	1	1	3	1478
0.547949	1	1	3	1478
0.54795	1	1	3	1478
0.547951	1	1	3	1478
0.547952	1	1	3	1478
0.547954	1	1	3	1478
0.547955	1	1	3	1478
0.547956	1	1	3	1478
0.547957	1	1	3	1478
0.547958	1	1	3	1478
0.54796	1	1	3	1478
0.547961	1	1	3	1478
0.547962	1	1	3	1478
0.547963	1	1	3	1478
0.547965	1	1	3	1478
0.547966	1	1	3	1478
0.547967	1	1	3	1478
0.547968	1	1	3	1478
0.547969	1	1	3	1478
0.547971	1	1	3	1478
0.547972	1	1	3	1478
0.547973	1	1	3	1478
0.547974	1	1	3	1478
0.547975	1	1	3	1478
0.547977	1	1	3	1478
0.547978	1	1	3	1478
0.547979	1	1	3	1478
0.54798	1	1	3	1478
0.547982	1	1	3	1478
0.547983	1	1	3	1478
0.547984	1	1	3	1478
0.547985	1	1	3	1478
0.547986	1	1	3	1478
0.547988	1	1	3	1478
0.547989	1	1	3	1478
0.54799	1	1	3	1478
0.547991	1	1	3	1478
0.547992	1	1	3	1478
0.547994	1	1	3	1478
0.547995	1	1	3	1478
0.547996	1	1	3	1478
0.547997	1	1	3	1478
0.547999	1	1	3	1478
0.548	1	1	3	1478
0.548001	1	1	3	1478
0.548002	1	1	3	1478
0.548003	1	1	3	1478
0.548005	1	1	3	1478
0.548006	1	1	3	1478
0.548007	1	1	3	1478
0.548008	1	1	3	1478
0.548009	1	1	3	1478
0.548011	1	1	3	1478
0.548012	1	1	3	1478
0.548013	1	1	3	1478
0.548014	1	1	3	1478
0.548015	1	1	3	1478
0.548017	1	1	3	1478
0.548018	1	1	3	1478
0.548019	1	1	3	1478
0.54802	1	1	3	1478
0.548022	1	1	3	1478
0.548023	1	1	3	1478
0.548024	1	1	3	1478
0.548025	1	1	3	1478
0.548026	1	1	3	1478
0.548028	1	1	3	1478
0.548029	1	1	3	1478
0.54803	1	1	3	1478
0.548031	1	1	3	1478
0.548032	1	1	3	1478
0.548034	1	1	3	1478
0.548035	1	1	3	1478
0.548036	1	1	3	1478
0.548037	1	1	3	1478
0.548039	1	1	3	1478
0.54804	1	1	3	1478
0.548041	1	1	3	1478
0.548042	1	1	3	1478
0.548043	1	1	3	1478
0.548045	1	1	3	1478
0.548046	1	1	3	1478
0.548047	1	1	3	1478
0.548048	1	1	3	1478
0.548049	1	1	3	1478
0.548051	1	1	3	1478
0.548052	1	1	3	1478
0.548053	1	1	3	1478
0.548054	1	1	3	1478
0.548056	1	1	3	1478
0.548057	1	1	3	1478
0.548058	1	1	3	1478
0.548059	1	1	3	1478
0.54806	1	1	3	1478
0.548062	1	1	3	1478
0.548063	1	1	3	1478
0.548064	1	1	3	1478
0.548065	1	1	3	1478
0.548066	1	1	3	1478
0.548068	1	1	3	1478
0.548069	1	1	3	1478
0.54807	1	1	3	1478
0.548071	1	1	3	1478
0.548073	1	1	3	1478
0.548074	1	1	3	1478
0.548075	1	1	3	1478
0.548076	1	1	3	1478
0.548077	1	1	3	1478
0.548079	1	1	3	1478
0.54808	1	1	3	1478
0.548081	1	1	3	1478
0.548082	1	1	3	1478
0.548083	1	1	3	1478
0.548085	1	1	3	1478
0.548086	1	1	3	1478
0.548087	1	1	3	1478
0.548088	1	1	3	1478
0.54809	1	1	3	1478
0.548091	1	1	3	1478
0.548092	1	1	3	1478
0.548093	1	1	3	1478
0.548094	1	1	3	1478
0.548096	1	1	3	1478
0.548097	1	1	3	1478
0.548098	1	1	3	1478
0.548099	1	1	3	1478
0.5481	1	1	3	1478
0.548102	1	1	3	1478
0.548103	1	1	3	1478
0.548104	1	1	3	1478
0.548105	1	1	3	1478
0.548107	1	1	3	1478
0.548108	1	1	3	1478
0.548109	1	1	3	1478
0.54811	1	1	3	1478
0.548111	1	1	3	1478
0.548113	1	1	3	1478
0.548114	1	1	3	1478
0.548115	1	1	3	1478
0.548116	1	1	3	1478
0.548117	1	1	3	1478
0.548119	1	1	3	1478
0.54812	1	1	3	1478
0.548121	1	1	3	1478
0.548122	1	1	3	1478
0.548124	1	1	3	1478
0.548125	1	1	3	1478
0.548126	1	1	3	1478
0.548127	1	1	3	1478
0.548128	1	1	3	1478
0.54813	1	1	3	1478
0.548131	1	1	3	1478
0.548132	1	1	3	1478
0.548133	1	1	3	1478
0.548134	1	1	3	1478
0.548136	1	1	3	1478
0.548137	1	1	3	1478
0.548138	1	1	3	1478
0.548139	1	1	3	1478
0.548141	1	1	3	1478
0.548142	1	1	3	1478
0.548143	1	1	3	1478
0.548144	1	1	3	1478
0.548145	1	1	3	1478
0.548147	1	1	3	1478
0.548148	1	1	3	1478
0.548149	1	1	3	1478
0.54815	1	1	3	1478
0.548151	1	1	3	1478
0.548153	1	1	3	1478
0.548154	1	1	3	1478
0.548155	1	1	3	1478
0.548156	1	1	3	1478
0.548158	1	1	3	1478
0.548159	1	1	3	1478
0.54816	1	1	3	1478
0.548161	1	1	3	1478
0.548162	1	1	3	1478
0.548164	1	1	3	1478
0.548165	1	1	3	1478
0.548166	1	1	3	1478
0.548167	1	1	3	1478
0.548168	1	1	3	1478
0.54817	1	1	3	1478
0.548171	1	1	3	1478
0.548172	1	1	3	1478
0.548173	1	1	3	1478
0.548175	1	1	3	1478
0.548176	1	1	3	1478
0.548177	1	1	3	1478
0.548178	1	1	3	1478
0.548179	1	1	3	1478
0.548181	1	1	3	1478
0.548182	1	1	3	1478
0.548183	1	1	3	1478
0.548184	1	1	3	1478
0.548185	1	1	3	1478
0.548187	1	1	3	1478
0.548188	1	1	3	1478
0.548189	1	1	3	1478
0.54819	1	1	3	1478
0.548192	1	1	3	1478
0.548193	1	1	3	1478
0.548194	1	1	3	1478
0.548195	1	1	3	1478
0.548196	1	1	3	1478
0.548198	1	1	3	1478
0.548199	1	1	3	1478
0.5482	1	1	3	1478
0.548201	1	1	3	1478
0.548202	1	1	3	1478
0.548204	1	1	3	1478
0.548205	1	1	3	1478
0.548206	1	1	3	1478
0.548207	1	1	3	1478
0.548209	1	1	3	1478
0.54821	1	1	3	1478
0.548211	1	1	3	1478
0.548212	1	1	3	1478
0.548213	1	1	3	1478
0.548215	1	1	3	1478
0.548216	1	1	3	1478
0.548217	1	1	3	1478
0.548218	1	1	3	1478
0.548219	1	1	3	1478
0.548221	1	1	3	1478
0.548222	1	1	3	1478
0.548223	1	1	3	1478
0.548224	1	1	3	1478
0.548226	1	1	3	1478
0.548227	1	1	3	1478
0.548228	1	1	3	1478
0.548229	1	1	3	1478
