time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.589564	1	1	3	5368	0.00156428
0.590064	1	1	3	5368	0.00156428
0.590564	1	1	3	5368	0.00156428
0.591064	1	1	3	5368	0.00156428
0.591564	1	1	3	5368	0.00156428
0.592064	1	1	3	5368	0.00156428
0.592564	1	1	3	5368	0.00156428
0.593064	1	1	3	5368	0.00156428
0.593564	1	1	3	5368	0.00156428
0.594064	1	1	3	5368	0.00156428
0.594564	1	1	3	5368	0.00156428
0.594564	5	3	3	6485	0.00156428
0.595064	1	1	3	5368	0.00156428
0.595064	5	3	3	6485	0.00156428
0.595564	1	1	3	5368	0.00156428
0.595564	5	3	3	6485	0.00156428
0.596064	1	1	3	5368	0.00156428
0.596064	5	3	3	6485	0.00156428
0.596564	1	1	3	5368	0.00156428
0.596564	5	3	3	6485	0.00156428
0.597064	1	1	3	5368	0.00156428
0.597064	5	3	3	6485	0.00156428
0.597529	1	1	3	4923	0.00152857
0.597564	5	3	3	6485	0.00156428
0.598029	1	1	3	4923	0.00152857
0.598064	5	3	3	6485	0.00156428
0.598421	1	1	3	3236	0.00142143
0.598564	5	3	3	6485	0.00156428
0.599064	5	3	3	6485	0.00156428
0.599564	5	3	3	6485	0.00156428
0.600064	5	3	3	6485	0.00156428
0.600564	5	3	3	6485	0.00156428
0.601064	5	3	3	6485	0.00156428
0.601564	5	3	3	6485	0.00156428
0.602064	5	3	3	6485	0.00156428
0.602564	5	3	3	6485	0.00156428
0.603064	5	3	3	6485	0.00156428
0.603564	5	3	3	6485	0.00156428
0.604064	5	3	3	6485	0.00156428
0.604564	5	3	3	6485	0.00156428
0.605064	5	3	3	6485	0.00156428
0.605564	5	3	3	6485	0.00156428
0.606029	5	3	3	5946	0.00152857
0.606564	5	3	3	6485	0.00156428
0.607029	5	3	3	5946	0.00152857
0.607564	5	3	3	6485	0.00156428
0.608064	5	3	3	6485	0.00156428
0.608529	5	3	3	5946	0.00152857
0.609064	5	3	3	6485	0.00156428
0.609564	5	3	3	6485	0.00156428
0.610064	5	3	3	6485	0.00156428
0.610564	5	3	3	6485	0.00156428
0.611064	5	3	3	6485	0.00156428
0.611564	5	3	3	6485	0.00156428
0.612064	5	3	3	6485	0.00156428
0.612564	5	3	3	6485	0.00156428
0.613064	5	3	3	6485	0.00156428
0.613564	5	3	3	6485	0.00156428
0.614064	5	3	3	6485	0.00156428
0.614529	5	3	3	5946	0.00152857
0.615029	5	3	3	5946	0.00152857
0.615564	5	3	3	6485	0.00156428
0.616064	5	3	3	6485	0.00156428
0.616529	5	3	3	5946	0.00152857
0.617064	5	3	3	6485	0.00156428
