Time	CellId	RNTI	BWPId	SINR(dB)
0.390036	5	15	0	15.2807
0.390536	5	1	0	32.3192
0.390536	5	2	0	36.6027
0.390536	5	3	0	29.0527
0.390536	5	4	0	28.4751
0.390536	5	5	0	19.7247
0.390536	5	11	0	36.0304
0.390536	5	12	0	15.1069
0.390536	5	13	0	45.6697
0.390536	5	14	0	20.0115
0.390536	5	15	0	15.2807
0.392536	3	1	0	18.4858
0.392536	3	2	0	29.1371
0.392536	3	3	0	26.8171
0.392536	3	4	0	19.1463
0.392536	3	5	0	23.0998
0.392536	3	6	0	22.6556
0.392536	3	11	0	20.4511
0.392536	3	12	0	17.4783
0.392536	3	13	0	24.9801
0.392536	3	14	0	30.8809
0.393036	3	1	0	18.4858
0.393036	3	2	0	29.1371
0.393036	3	3	0	26.8171
0.393036	3	4	0	19.1463
0.393036	3	5	0	23.0998
0.393036	3	6	0	22.6556
0.393036	3	11	0	20.4511
0.393036	3	12	0	17.4783
0.393036	3	13	0	24.9801
0.393036	3	14	0	30.8809
0.395036	1	1	0	12.9124
0.395036	1	2	0	23.0024
0.395036	1	3	0	19.8289
0.395036	1	4	0	15.8615
0.395036	1	5	0	17.5117
0.395036	1	6	0	22.4263
0.395036	1	11	0	14.7139
0.395036	1	12	0	19.9733
0.395036	1	13	0	21.8847
0.395036	1	14	0	20.9653
0.395036	3	1	0	18.4858
0.395036	3	2	0	29.1371
0.395036	3	3	0	26.8171
0.395036	3	4	0	19.1463
0.395036	3	5	0	23.0998
0.395036	3	6	0	22.6556
0.395036	3	11	0	20.4511
0.395036	3	12	0	17.4783
0.395036	3	13	0	24.9801
0.395036	3	14	0	30.8809
0.395036	5	1	0	32.3192
0.395036	5	2	0	36.6027
0.395036	5	3	0	29.0527
0.395036	5	4	0	28.4751
0.395036	5	5	0	19.7247
0.395036	5	11	0	36.0304
0.395036	5	12	0	15.1069
0.395036	5	13	0	45.6697
0.395036	5	14	0	20.0115
0.395036	5	15	0	15.2807
0.396036	1	1	0	12.9124
0.396036	1	2	0	23.0024
0.396036	1	3	0	19.8289
0.396036	1	4	0	15.8615
0.396036	1	5	0	17.5117
0.396036	1	6	0	22.4263
0.396036	1	11	0	14.7139
0.396036	1	12	0	19.9733
0.396036	1	13	0	21.8847
0.396036	1	14	0	20.9653
0.396536	1	1	0	12.9124
0.396536	1	2	0	23.0024
0.396536	1	3	0	19.8289
0.396536	1	4	0	15.8615
0.396536	1	5	0	17.5117
0.396536	1	6	0	22.4263
0.396536	1	11	0	14.7139
0.396536	1	12	0	19.9733
0.396536	1	13	0	21.8847
0.396536	1	14	0	20.9653
0.397036	3	1	0	18.4858
0.397036	3	2	0	29.1371
0.397036	3	3	0	26.8171
0.397036	3	4	0	19.1463
0.397036	3	5	0	23.0998
0.397036	3	6	0	22.6556
0.397036	3	11	0	20.4511
0.397036	3	12	0	17.4783
0.397036	3	13	0	24.9801
0.397036	3	14	0	30.8809
0.398036	3	1	0	18.4858
0.398036	3	2	0	29.1371
0.398036	3	3	0	26.8171
0.398036	3	4	0	19.1463
0.398036	3	5	0	23.0998
0.398036	3	6	0	22.6556
0.398036	3	11	0	20.4511
0.398036	3	12	0	17.4783
0.398036	3	13	0	24.9801
0.398036	3	14	0	30.8809
0.400036	1	1	0	12.9124
0.400036	1	2	0	23.0024
0.400036	1	3	0	19.8289
0.400036	1	4	0	15.8615
0.400036	1	5	0	17.5117
0.400036	1	6	0	22.4263
0.400036	1	11	0	14.7139
0.400036	1	12	0	19.9733
0.400036	1	13	0	21.8847
0.400036	1	14	0	20.9653
0.400036	3	1	0	18.4858
0.400036	3	2	0	29.1371
0.400036	3	3	0	26.8171
0.400036	3	4	0	19.1463
0.400036	3	5	0	23.0998
0.400036	3	6	0	22.6556
0.400036	3	11	0	20.4511
0.400036	3	12	0	17.4783
0.400036	3	13	0	24.9801
0.400036	3	14	0	30.8809
0.400036	5	1	0	32.3192
0.400036	5	2	0	36.6027
0.400036	5	3	0	29.0527
0.400036	5	4	0	28.4751
0.400036	5	5	0	19.7247
0.400036	5	11	0	36.0304
0.400036	5	12	0	15.1069
0.400036	5	13	0	45.6697
0.400036	5	14	0	20.0115
0.400036	5	15	0	15.2807
0.400536	3	1	0	18.4858
0.400536	3	2	0	29.1371
0.400536	3	3	0	26.8171
0.400536	3	4	0	19.1463
0.400536	3	5	0	23.0998
0.400536	3	6	0	22.6556
0.400536	3	11	0	20.4511
0.400536	3	12	0	17.4783
0.400536	3	13	0	24.9801
0.400536	3	14	0	30.8809
0.401536	1	1	0	12.9124
0.401536	1	2	0	23.0024
0.401536	1	3	0	19.8289
0.401536	1	4	0	15.8615
0.401536	1	5	0	17.5117
0.401536	1	6	0	22.4263
0.401536	1	11	0	14.7139
0.401536	1	12	0	19.9733
0.401536	1	13	0	21.8847
0.401536	1	14	0	20.9653
0.404536	5	1	0	32.3192
0.404536	5	2	0	36.6027
0.404536	5	3	0	29.0527
0.404536	5	4	0	28.4751
0.404536	5	5	0	19.7247
0.404536	5	11	0	36.0304
0.404536	5	12	0	15.1069
0.404536	5	13	0	45.6697
0.404536	5	14	0	20.0115
0.404536	5	15	0	15.2807
0.405036	1	1	0	12.9124
0.405036	1	2	0	23.0024
0.405036	1	3	0	19.8289
0.405036	1	4	0	15.8615
0.405036	1	5	0	17.5117
0.405036	1	6	0	22.4263
0.405036	1	11	0	14.7139
0.405036	1	12	0	19.9733
0.405036	1	13	0	21.8847
0.405036	1	14	0	20.9653
0.405036	3	1	0	18.4858
0.405036	3	2	0	29.1371
0.405036	3	3	0	26.8171
0.405036	3	4	0	19.1463
0.405036	3	5	0	23.0998
0.405036	3	6	0	22.6556
0.405036	3	11	0	20.4511
0.405036	3	12	0	17.4783
0.405036	3	13	0	24.9801
0.405036	3	14	0	30.8809
0.405036	5	1	0	32.3192
0.405036	5	2	0	36.6027
0.405036	5	3	0	29.0527
0.405036	5	4	0	28.4751
0.405036	5	5	0	19.7247
0.405036	5	11	0	36.0304
0.405036	5	12	0	15.1069
0.405036	5	13	0	45.6697
0.405036	5	14	0	20.0115
0.405036	5	15	0	15.2807
0.405536	3	1	0	18.4858
0.405536	3	2	0	29.1371
0.405536	3	3	0	26.8171
0.405536	3	4	0	19.1463
0.405536	3	5	0	23.0998
0.405536	3	6	0	22.6556
0.405536	3	11	0	20.4511
0.405536	3	12	0	17.4783
0.405536	3	13	0	24.9801
0.405536	3	14	0	30.8809
0.405536	5	1	0	32.3192
0.405536	5	2	0	36.6027
0.405536	5	3	0	29.0527
0.405536	5	4	0	28.4751
