time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.505029	5	2	3	1478	0.0133005
0.505029	5	2	3	1478	0.0132993
0.505029	5	2	3	1478	0.0132981
0.505564	5	2	3	1478	0.0138326
0.505564	5	2	3	1478	0.0138314
0.505564	5	2	3	1478	0.0138302
0.505564	5	2	3	1478	0.0138289
0.505564	5	2	3	1478	0.0138277
0.506064	5	2	3	1478	0.0143265
0.506064	5	2	3	1478	0.0143253
0.506064	5	2	3	1478	0.0143241
0.506064	5	2	3	1478	0.0143229
0.506564	5	2	3	1478	0.0148217
0.506564	5	2	3	1478	0.0148204
0.506564	5	2	3	1478	0.0148192
0.506564	5	2	3	1478	0.014818
0.507064	5	2	3	1478	0.0153168
0.507064	5	2	3	1478	0.0153156
0.507064	5	2	3	1478	0.0153144
0.507064	5	2	3	1478	0.0153132
0.507064	5	2	3	1478	0.0153119
0.507564	5	2	3	1478	0.0158107
0.507564	5	2	3	1478	0.0158095
0.507564	5	2	3	1478	0.0158083
0.507564	5	2	3	1478	0.0158071
0.508064	5	2	3	1478	0.0163059
0.508064	5	2	3	1478	0.0163047
0.508064	5	2	3	1478	0.0163034
0.508064	5	2	3	1478	0.0163022
0.508564	5	2	3	1478	0.016801
0.508564	5	2	3	1478	0.0167998
0.508564	5	2	3	1478	0.0167986
0.508564	5	2	3	1478	0.0167974
0.508564	5	2	3	1478	0.0167962
0.509064	5	2	3	1478	0.0172949
0.509064	5	2	3	1478	0.0172937
0.509064	5	2	3	1478	0.0172925
0.509064	5	2	3	1478	0.0172913
0.509564	5	2	3	1478	0.0177901
0.509564	5	2	3	1478	0.0177889
0.509564	5	2	3	1478	0.0177877
0.509564	5	2	3	1478	0.0177865
0.509564	5	2	3	1478	0.0177852
0.510029	5	2	3	1478	0.0182483
0.510029	5	2	3	1478	0.0182471
0.510029	5	2	3	1478	0.0182459
0.510029	5	2	3	1478	0.0182447
0.510564	5	2	3	1478	0.0187792
0.510564	5	2	3	1478	0.018778
0.510564	5	2	3	1478	0.0187767
0.510564	5	2	3	1478	0.0187755
0.511064	5	2	3	1478	0.0192743
0.511064	5	2	3	1478	0.0192731
0.511064	5	2	3	1478	0.0192719
0.511064	5	2	3	1478	0.0192707
0.511529	5	2	3	1478	0.0197337
0.511529	5	2	3	1478	0.0197325
0.511529	5	2	3	1478	0.0197313
0.511529	5	2	3	1478	0.0197301
0.512029	5	2	3	1478	0.0202289
0.512029	5	2	3	1478	0.0202277
0.512029	5	2	3	1478	0.0202265
0.512029	5	2	3	1478	0.0202252
0.512564	5	2	3	1478	0.0207597
0.512564	5	2	3	1478	0.0207585
0.512564	5	2	3	1478	0.0207573
0.512564	5	2	3	1478	0.0207561
0.512564	5	2	3	1478	0.0207549
0.513064	5	2	3	1478	0.0212537
0.513064	5	2	3	1478	0.0212525
0.513064	5	2	3	1478	0.0212512
0.513064	5	2	3	1478	0.02125
0.513564	5	2	3	1478	0.0217488
0.513564	5	2	3	1478	0.0217476
0.513564	5	2	3	1478	0.0217464
0.513564	5	2	3	1478	0.0217452
0.513564	5	2	3	1478	0.021744
0.514064	5	2	3	1478	0.0222427
0.514064	5	2	3	1478	0.0222415
0.514064	5	2	3	1478	0.0222403
0.514064	5	2	3	1478	0.0222391
0.514564	5	2	3	1478	0.0227379
0.514564	5	2	3	1478	0.0227367
0.514564	5	2	3	1478	0.0227355
0.514564	5	2	3	1478	0.0227342
0.515064	5	2	3	1478	0.023233
0.515064	5	2	3	1478	0.0232318
0.515064	5	2	3	1478	0.0232306
0.515064	5	2	3	1478	0.0232294
0.515064	5	2	3	1478	0.0232282
0.515564	5	2	3	1478	0.023727
0.515564	5	2	3	1478	0.0237258
0.515564	5	2	3	1478	0.0237245
0.515564	5	2	3	1478	0.0237233
0.516064	5	2	3	1478	0.0242221
0.516064	5	2	3	1478	0.0242209
0.516064	5	2	3	1478	0.0242197
0.516064	5	2	3	1478	0.0242185
0.516064	5	2	3	1478	0.0242173
0.516564	5	2	3	1478	0.024716
0.516564	5	2	3	1478	0.0247148
0.516564	5	2	3	1478	0.0247136
0.516564	5	2	3	1478	0.0247124
0.517064	5	2	3	1478	0.0252112
0.517064	5	2	3	1478	0.02521
0.517064	5	2	3	1478	0.0252088
0.517064	5	2	3	1478	0.0252075
0.517564	5	2	3	1478	0.0257063
0.517564	5	2	3	1478	0.0257051
0.517564	5	2	3	1478	0.0257039
0.517564	5	2	3	1478	0.0257027
0.517564	5	2	3	1478	0.0257015
0.518064	5	2	3	1478	0.0262003
0.518064	5	2	3	1478	0.026199
0.518064	5	2	3	1478	0.0261978
0.518064	5	2	3	1478	0.0261966
0.518564	5	2	3	1478	0.0266954
0.518564	5	2	3	1478	0.0266942
0.518564	5	2	3	1478	0.026693
0.518564	5	2	3	1478	0.0266918
0.519064	5	2	3	1478	0.0271905
0.519064	5	2	3	1478	0.0271893
0.519064	5	2	3	1478	0.0271881
0.519064	5	2	3	1478	0.0271869
0.519064	5	2	3	1478	0.0271857
0.519564	5	2	3	1478	0.0276845
